的	207824558
我	107133693
了	91700393
你	60717518
是	47904895
~	43240132
在	35443976
有	31564816
不	29309227
个	25983977
好	25961273
就	24249630
啊	23628846
人	22471811
都	22439646
也	20326380
要	19514337
这	19242112
!	17761908
-	16241959
去	15899319
说	15132096
和	14938802
很	13969299
会	13798613
看	13462766
吧	13369168
自己	13254626
到	13195909
来	13159180
给	12925326
上	12648677
想	12623098
还	11949541
着	11687627
真	11563308
他	11489337
我们	11181349
爱	10935814
大	10463726
没	10135109
太	9602927
又	9497769
中	9365858
吃	9348265
这个	9155914
年	9063554
天	9015110
得	8773205
过	8677476
没有	8639977
可以	8520020
就是	8455698
那	8405063
最	8390169
能	8339198
做	8306273
对	8285807
小	8220625
让	8065193
什么	8061899
啦	7596734
被	7436475
今天	7248266
呢	7209807
把	7068891
喜欢	6950085
不是	6869821
吗	6646604
哈哈	6525249
博	6519433
为	6440585
下	6355570
还是	6275049
大家	6256675
微	6222761
两	6163584
～	6068221
她	5954967
再	5905734
哦	5725211
现在	5618165
时候	5598977
用	5537883
里	5447812
等	5393434
你们	5221307
不要	5162774
这样	5135957
元	5116084
日	5085869
月	5001557
手	4989657
快	4885214
死	4873327
与	4844832
而	4814727
谁	4788257
新	4749018
怎么	4748848
地	4696082
家	4644248
但	4642471
后	4620386
因为	4563054
看到	4360978
次	4319328
么	4302849
才	4297549
买	4291901
这么	4284430
时	4270670
如果	4263756
之	4193974
一起	4189147
都是	4187841
心	4157811
出	4148432
只	4123690
跟	4115495
走	4034752
事	4010637
觉得	4009358
知道	3969137
那么	3941280
回复	3933606
活动	3810637
美	3760494
开始	3730388
将	3708898
生活	3682329
——	3663330
时间	3656442
比	3652165
还有	3641718
睡	3630772
请	3627389
更	3624349
希望	3513739
可	3501365
已经	3464530
机	3424710
幸福	3405048
找	3400153
笑	3379918
种	3376184
别	3359661
从	3349491
叫	3333172
呀	3287470
打	3244265
前	3236281
水	3210955
不会	3187320
转	3176427
话	3175814
中国	3151233
明天	3141731
当	3140997
网	3137157
却	3135865
无	3132526
像	3113772
不能	3083670
老	3081613
玩	3042889
一个人	3025882
_	2954968
感觉	2951239
一定	2937852
朋友	2904437
成	2899195
他们	2888152
别人	2874090
其实	2866259
长	2863753
带	2862116
世界	2853123
它	2842137
发	2840147
起来	2829270
男人	2826978
东西	2807740
一直	2807334
需要	2780335
听	2731757
系	2730436
地址	2727950
发现	2724158
开	2721665
那个	2720028
快乐	2699593
转发	2684393
女人	2684288
几	2675069
一下	2651701
女	2643396
位	2633910
起	2621519
不错	2594658
喝	2582702
推荐	2569000
求	2568438
只是	2564895
开心	2552237
所以	2547863
分享	2509600
回	2507848
阿	2502903
不知道	2498496
看看	2496249
款	2485758
但是	2454447
以	2448499
最后	2422743
哥	2413346
关注	2412488
高	2410805
哈	2398047
妈	2390678
支持	2360312
钱	2349539
放	2335337
亲	2317648
超	2313024
送	2312251
车	2299267
终于	2291813
信	2290338
完	2262989
见	2254740
张	2245360
一样	2236240
很多	2232995
★	2232574
应该	2225341
;	2218292
版	2200031
不过	2196071
人生	2184205
然后	2171829
分	2170584
孩子	2167205
只有	2161058
男	2158661
先	2156782
该	2155059
出来	2152864
懂	2136566
回家	2123482
刚	2116546
为什么	2115639
图	2107176
座	2104191
越	2104137
条	2102653
拿	2082030
力	2078027
搞	2073460
问	2048858
号	2038525
穿	2036265
岁	2029315
衣	2028611
谢谢	2021915
唔	2014076
冷	2012933
每天	2007996
哇	2004882
包	1979691
爱情	1978052
晚上	1976932
工作	1976569
不想	1969579
帮	1966134
们	1959184
加	1954819
花	1954325
可爱	1946317
儿	1945164
嘛	1938969
写	1935050
您	1932651
双	1911072
件	1908900
真是	1903844
住	1897605
路	1886876
睡觉	1872952
总	1871157
永远	1866083
原来	1863329
问题	1849321
拍	1829560
木	1826820
事情	1817909
子	1794482
同	1785989
心情	1785919
哭	1773321
以后	1768674
今晚	1763003
歌	1757575
有点	1749985
一切	1746009
晚安	1744930
那些	1730194
这种	1729045
句	1724447
服	1720959
各种	1719154
少	1719030
或	1717967
文	1708675
牛	1700382
